datetime,load
2024-01-03 21:35:00,3630.74
2024-01-03 21:40:00,3714.39
2024-01-03 21:45:00,3667.74
2024-01-03 21:50:00,3586.02
2024-01-03 21:55:00,3581.14
2024-01-03 22:00:00,3578.17
2024-01-03 22:05:00,3509.49
2024-01-03 22:10:00,3487.45
2024-01-03 22:15:00,3410.23
2024-01-03 22:20:00,3421.71
2024-01-03 22:25:00,3363.99
2024-01-03 22:30:00,3316.21
2024-01-03 22:35:00,3255.52
2024-01-03 22:40:00,3203.4
2024-01-03 22:45:00,3149.43
2024-01-03 22:50:00,3141.4
2024-01-03 22:55:00,3099.27
2024-01-03 23:00:00,3028.55
2024-01-03 23:05:00,2958.84
2024-01-03 23:10:00,2924.32
2024-01-03 23:15:00,2900.94
2024-01-03 23:20:00,2837.2
2024-01-03 23:25:00,2796.61
2024-01-03 23:30:00,2731.23
2024-01-03 23:35:00,2696.52
2024-01-03 23:40:00,2641.44
2024-01-03 23:45:00,2611.47
2024-01-03 23:50:00,2572.96
2024-01-03 23:55:00,2492.84
2024-01-04 00:00:00,2483.27
2024-01-04 00:05:00,2434.35
2024-01-04 00:10:00,2398.12
2024-01-04 00:15:00,2336.34
2024-01-04 00:20:00,2310.99
2024-01-04 00:25:00,2282.53
2024-01-04 00:30:00,2254.14
2024-01-04 00:35:00,2222.21
2024-01-04 00:40:00,2193.91
2024-01-04 00:45:00,2156.04
2024-01-04 00:50:00,2137.57
2024-01-04 00:55:00,2098.89
2024-01-04 01:00:00,2073.1
2024-01-04 01:05:00,2045.65
2024-01-04 01:10:00,2037.13
2024-01-04 01:15:00,2006.88
2024-01-04 01:20:00,1984.6
2024-01-04 01:25:00,1962.07
2024-01-04 01:30:00,1941.04
2024-01-04 01:35:00,1933.62
2024-01-04 01:40:00,1925.1
2024-01-04 01:45:00,1909.4
2024-01-04 01:50:00,1900.54
2024-01-04 01:55:00,1872.14
2024-01-04 02:00:00,1870.45
2024-01-04 02:05:00,1848.06
2024-01-04 02:10:00,1842.18
2024-01-04 02:15:00,1831.72
2024-01-04 02:20:00,1832.54
2024-01-04 02:25:00,1818.87
2024-01-04 02:30:00,1807.99
2024-01-04 02:35:00,1806.13
2024-01-04 02:40:00,1792.02
2024-01-04 02:45:00,1795.48
2024-01-04 02:50:00,1780.43
2024-01-04 02:55:00,1777.07
2024-01-04 03:00:00,1765.21
2024-01-04 03:05:00,1761.86
2024-01-04 03:10:00,1754.12
2024-01-04 03:15:00,1753.28
2024-01-04 03:20:00,1756.95
2024-01-04 03:25:00,1751.01
2024-01-04 03:30:00,1753.81
2024-01-04 03:35:00,1760.47
2024-01-04 03:40:00,1750.32
2024-01-04 03:45:00,1756.99
2024-01-04 03:50:00,1762.68
2024-01-04 03:55:00,1753.36
2024-01-04 04:00:00,1763.93
2024-01-04 04:05:00,1768.33
2024-01-04 04:10:00,1787.55
2024-01-04 04:15:00,1799.31
2024-01-04 04:20:00,1810.57
2024-01-04 04:25:00,1829.82
